EmpID,Review Date,Rating,Bonus,Promotion
1001,12/31/2020,4,2000,No
1001,31.12.2021,6,0,Promoted
1001,2022.12.31,5,3000,No
1002,31-12-2020,1,2000,No
1002,31-12-2021,2,3000,No
1002,31.12.2022,4,3000,No
1004,31-12-2020,4,3000,No
1004,2021.12.31,4,3000,Y
1004,31-12-2022,4,3000,No
1005,31.12.2020,3,"1,500",Y
1005,12/31/2021,3,2000,Promoted
1005,2022.12.31,4,3000,No
1006,31.12.2020,5,2000,No
1006,12/31/2021,3,4404,No
1006,31.12.2022,1,2000,No
1007,31-12-2020,3,3000,Y
1007,31-12-2021,3,3000,Y
1007,31-12-2022,4,3000,Promoted
1008,31-12-2020,3,3000,Yes
1008,31-12-2021,2,3000,No
1008,31-12-2022,6,"1,500",Promoted
1009,2020.12.31,4,3000,No
1009,31-12-2021,4,3000,No
1009,31-12-2022,4,3000,No
1010,2020.12.31,4,3000,Promoted
1010,12/31/2021,3,3000,No
1010,Dec-31-22,2,2000,No
1011,Dec-31-20,4,2178,No
1011,Dec-31-21,4,3000,No
1011,31-12-2022,3,3000,No
1012,31-12-2020,4,2000,No
1012,31-12-2021,3,3000,No
1012,31.12.2022,1,3000,Yes
1013,2020.12.31,3,3000,No
1013,Dec-31-21,2,3000,Promoted
1013,12/31/2022,2,2000,No
1015,31-12-2020,2,3000,No
1015,31-12-2021,3,2340,No
1015,2022.12.31,2,3000,No
1016,Dec-31-20,1,2000,No
1016,31-12-2021,4,3000,No
1016,31-12-2022,6,4329,No
1017,31-12-2020,5,3000,No
1017,31-12-2021,3,0,No
1017,31-12-2022,2,3000,No
1018,Dec-31-20,3,3000,No
1018,31-12-2021,1,0,No
1018,Dec-31-22,2,2000,No
1019,31-12-2020,3,0,No
1019,31-12-2021,6,3000,Y
1019,31-12-2022,3,3000,Yes
1021,31.12.2020,6,2000,No
1021,31.12.2021,3,3000,No
1021,31-12-2022,2,3000,No
1022,Dec-31-20,5,3000,No
1022,31-12-2021,2,"1,500",No
1022,31-12-2022,3,3140,Y
1023,31-12-2020,3,0,Promoted
1023,31-12-2021,4,"1,500",No
1023,31-12-2022,4,3581,Yes
1024,2020.12.31,3,3000,Y
1024,31-12-2021,3,3000,No
1024,31-12-2022,6,0,Y
1025,31.12.2020,3,"1,500",No
1025,31-12-2021,1,0,Yes
1025,12/31/2022,6,"1,500",No
1026,2020.12.31,1,3000,Y
1026,2021.12.31,1,0,Yes
1026,Dec-31-22,4,3721,No
1027,31-12-2020,3,3000,No
1027,31-12-2021,2,3000,Y
1027,31-12-2022,2,"1,500",No
1028,31-12-2020,6,3000,No
1028,Dec-31-21,6,"1,500",No
1028,31-12-2022,6,1724,No
1030,31-12-2020,1,0,No
1030,31-12-2021,3,3000,Yes
1030,31-12-2022,3,3000,No
1031,12/31/2020,4,2000,No
1031,12/31/2021,1,3000,Yes
1031,31.12.2022,6,3000,No
1032,31-12-2020,5,3000,Y
1032,31-12-2021,3,2000,Yes
1032,31-12-2022,4,0,No
1033,2020.12.31,6,3000,No
1033,2021.12.31,4,2000,Yes
1033,Dec-31-22,2,"1,500",No
1034,2020.12.31,3,3000,Yes
1034,2021.12.31,6,3000,Promoted
1034,31.12.2022,5,3000,Y
1035,31-12-2020,6,3000,Yes
1035,12/31/2021,4,2000,Y
1035,31-12-2022,2,2564,No
1036,31-12-2020,3,3000,No
1036,Dec-31-21,3,3000,Y
1036,12/31/2022,2,3000,No
1037,31-12-2020,5,3000,No
1037,31-12-2021,3,2000,Promoted
1037,Dec-31-22,3,0,No
1038,31.12.2020,2,"1,500",Promoted
1038,Dec-31-21,1,3000,No
1038,31.12.2022,6,3000,No
1039,12/31/2020,3,3000,No
1039,Dec-31-21,5,"1,500",No
1039,12/31/2022,5,4789,No
1040,31.12.2020,5,"1,500",Promoted
1040,31.12.2021,2,2000,No
1040,31-12-2022,3,2341,No
1041,2020.12.31,2,3000,No
1041,31-12-2021,3,3000,No
1041,31-12-2022,4,1163,No
1042,31-12-2020,3,3000,No
1042,31-12-2021,4,3000,No
1042,31-12-2022,4,2069,Promoted
1044,31-12-2020,1,3000,No
1044,31-12-2021,2,3000,No
1044,31.12.2022,1,0,No
1045,Dec-31-20,3,2505,Yes
1045,31-12-2021,3,3000,Promoted
1045,2022.12.31,3,"1,500",Yes
1046,2020.12.31,5,"1,500",Y
1046,Dec-31-21,3,3000,No
1046,31-12-2022,1,3000,Yes
1047,31.12.2020,4,4223,No
1047,31.12.2021,3,0,No
1047,31-12-2022,3,523,Y
1048,31-12-2020,4,3000,Yes
1048,12/31/2021,4,0,No
1048,31-12-2022,6,2000,No
1050,31-12-2020,3,3000,Y
1050,31.12.2021,2,"1,500",No
1050,31-12-2022,6,2000,Y
1051,31.12.2020,4,3000,Yes
1051,Dec-31-21,5,3000,Y
1051,2022.12.31,3,0,No
1052,31-12-2020,3,3000,No
1052,Dec-31-21,5,2200,Promoted
1052,31-12-2022,2,2200,No
1053,2020.12.31,3,2200,No
1053,31-12-2021,6,0,No
1053,Dec-31-22,2,2200,Promoted
1054,Dec-31-20,5,2200,No
1054,31.12.2021,2,0,No
1054,2022.12.31,6,"1,500",Y
1055,31-12-2020,3,2000,No
1055,Dec-31-21,6,0,No
1055,31.12.2022,4,"1,500",Y
1057,31-12-2020,5,0,No
1057,31-12-2021,3,2200,Yes
1057,Dec-31-22,6,0,No
1058,31-12-2020,4,2000,No
1058,31-12-2021,2,2200,Y
1058,31-12-2022,3,2000,No
1059,2020.12.31,6,0,No
1059,12/31/2021,4,2200,No
1059,31-12-2022,4,2200,No
1060,31-12-2020,4,"1,500",Promoted
1060,31-12-2021,3,2200,Yes
1060,31-12-2022,4,2000,Yes
1061,31.12.2020,3,"1,500",No
1061,2021.12.31,4,"1,500",Yes
1061,12/31/2022,4,2200,No
1062,31-12-2020,5,0,No
1062,31-12-2021,2,2200,No
1062,31-12-2022,6,0,No
1063,31-12-2020,3,0,No
1063,31-12-2021,2,"1,500",Yes
1063,31-12-2022,1,2200,No
1064,12/31/2020,5,0,Y
1064,2021.12.31,3,0,No
1064,2022.12.31,2,2200,No
1065,Dec-31-20,4,4423,Y
1065,2021.12.31,2,2200,No
1065,31-12-2022,2,0,No
1066,31.12.2020,5,2200,No
1066,12/31/2021,3,4386,No
1066,31-12-2022,3,2200,Promoted
1067,31.12.2020,3,4912,No
1067,31-12-2021,4,2200,Y
1067,31-12-2022,4,2200,No
1068,31.12.2020,3,0,No
1068,12/31/2021,3,2200,No
1068,31-12-2022,2,2200,No
1069,31-12-2020,2,0,Y
1069,31.12.2021,4,"1,500",No
1069,31-12-2022,3,2200,No
1070,31-12-2020,4,2200,Promoted
1070,31-12-2021,3,2200,No
1070,12/31/2022,1,2200,Y
1071,31.12.2020,4,2200,Yes
1071,31-12-2021,3,2200,No
1071,31-12-2022,4,"1,500",No
1072,31-12-2020,3,2200,No
1072,31-12-2021,6,3548,Yes
1072,Dec-31-22,3,2200,No
1073,Dec-31-20,4,2000,No
1073,12/31/2021,5,2200,No
1073,2022.12.31,4,2200,Yes
1074,2020.12.31,1,2200,No
1074,31-12-2021,3,0,No
1074,31-12-2022,2,2200,Promoted
1075,Dec-31-20,2,2000,Yes
1075,31-12-2021,1,2200,Yes
1075,31-12-2022,3,2000,Yes
1076,Dec-31-20,1,2000,No
1076,Dec-31-21,4,2000,No
1076,2022.12.31,3,4771,Promoted
1077,31-12-2020,3,0,Promoted
1077,31-12-2021,4,2200,No
1077,31-12-2022,4,"1,500",No
1078,12/31/2020,3,2200,No
1078,31.12.2021,2,2200,Yes
1078,31-12-2022,4,2200,No
1079,Dec-31-20,6,2200,No
1079,2021.12.31,3,2200,Yes
1079,31-12-2022,3,2200,No
1080,31-12-2020,4,2000,No
1080,12/31/2021,6,2200,No
1080,Dec-31-22,4,"1,500",No
1081,2020.12.31,1,"1,500",Promoted
1081,Dec-31-21,5,2200,No
1081,12/31/2022,3,2000,No
1082,31-12-2020,3,2200,No
1082,2021.12.31,5,2000,No
1082,12/31/2022,2,2200,No
1084,31.12.2020,2,2200,Promoted
1084,Dec-31-21,3,"1,500",No
1084,2022.12.31,1,2200,No
1085,31-12-2020,3,2200,Y
1085,31-12-2021,2,2200,Yes
1085,12/31/2022,2,2000,No
1086,31.12.2020,4,2200,No
1086,2021.12.31,4,2200,No
1086,31-12-2022,1,2200,Y
1087,31-12-2020,3,2000,No
1087,31-12-2021,4,2200,Promoted
1087,Dec-31-22,3,1791,No
1088,31-12-2020,1,"1,500",Promoted
1088,2021.12.31,6,2200,Yes
1088,12/31/2022,6,2200,Y
1089,31-12-2020,2,2200,No
1089,12/31/2021,3,4791,No
1089,31-12-2022,2,2200,Promoted
1090,31-12-2020,6,2200,No
1090,Dec-31-21,3,2200,No
1090,31-12-2022,3,0,Yes
1091,2020.12.31,4,2200,Y
1091,31-12-2021,6,2762,Yes
1091,2022.12.31,3,2200,No
1093,31-12-2020,3,2200,Promoted
1093,31-12-2021,3,2200,Promoted
1093,31.12.2022,4,2200,No
1094,Dec-31-20,1,2200,No
1094,12/31/2021,4,2200,No
1094,31-12-2022,6,2200,No
1095,12/31/2020,2,2200,No
1095,31-12-2021,4,2200,Y
1095,12/31/2022,3,"1,500",Y
1096,Dec-31-20,3,2200,Promoted
1096,31.12.2021,6,2200,Y
1096,31.12.2022,2,4632,No
1097,31-12-2020,3,559,No
1097,31-12-2021,3,2200,Yes
1097,31-12-2022,2,1100,Yes
1098,31-12-2020,3,2000,No
1098,2021.12.31,4,1100,No
1098,31-12-2022,3,2000,No
1099,2020.12.31,5,1100,No
1099,31-12-2021,4,"1,500",Yes
1099,31-12-2022,3,2000,No
1100,31-12-2020,4,0,Yes
1100,31-12-2021,3,0,Yes
1100,2022.12.31,4,1100,Promoted
